checks,comments,commits,dateLastComment,dateOpened,filesChanged,issue,issueHref,issueId,issueStatus,linesChanged,repoCommits,repoForks,repoHref,repoInfo,repoName,repoOwner,repoStargazers,repoTags,repoWatchers
"
        1
      ","
            1
        ","
          0
        ",,2019-10-26T11:02:12Z,"
            1
        ","
        Added a new tensorflow resource
      ",https://github.com/lauragift21/awesome-learning-resources/pull/94,#94,Status: Open,4 lines changed,"
              271
            ","
      135
    ",https://github.com/lauragift21/awesome-learning-resources,"
          
",awesome-learning-resources,lauragift21,"
      235
    ","Topic: open-source,Topic: css,Topic: vue,Topic: javascript,Topic: awesome-list,Topic: pwa,Topic: podcast,Topic: serverless,Topic: developer-stories,Topic: machine-learning,Topic: ai","
      18
    "
,,,2019-10-22T10:33:42Z,2019-10-22T10:29:20Z,,"
        Remove using Tensorflow in backend
      ",https://github.com/JoseBarbero/UBUMLaaS/issues/125,#125,Status: Open,,"
              317
            ","
      2
    ",https://github.com/JoseBarbero/UBUMLaaS,"
          MLaaS platform based on ADMIRABLE and BEST-AI research groups methods.
        ",UBUMLaaS,JoseBarbero,"
      2
    ",,"
      5
    "
,,,2019-10-10T16:28:45Z,2019-10-10T01:48:12Z,,"
        TensorFlow colab integration
      ",https://github.com/google/iree/issues/15,#15,Status: Open,,"
              233
            ","
      10
    ",https://github.com/google/iree,"
          ",iree,google,"
      60
    ",,"
      11
    "
,,,,2019-10-13T08:07:09Z,,"
        python2 not support tensorflow
      ",https://github.com/rohithreddy024/Text-Summarizer-Pytorch/issues/22,#22,Status: Open,,"
              23
            ","
      19
    ",https://github.com/rohithreddy024/Text-Summarizer-Pytorch,"
          Pytorch implementation of ""A Deep Reinforced Model for Abstractive Summarization"" paper and pointer generator network
        ",Text-Summarizer-Pytorch,rohithreddy024,"
      105
    ","Topic: pytorch,Topic: text-summarization,Topic: mle-training,Topic: rl-training,Topic: beam-search","
      4
    "
,,,,2019-10-17T21:20:07Z,,"
        Pytorch to Tensorflow conversion
      ",https://github.com/onnx/tutorials/issues/153,#153,Status: Open,,"
              121
            ","
      276
    ",https://github.com/onnx/tutorials,"
          Tutorials for creating and using ONNX models
        ",tutorials,onnx,"
      1,271
    ",,"
      109
    "
,,,,2019-10-25T17:53:24Z,,"
        Remove dependency on tensorflow.contrib
      ",https://github.com/CityOfLosAngeles/count-machine/issues/19,#19,Status: Open,,"
              18
            ","
      2
    ",https://github.com/CityOfLosAngeles/count-machine,"
          A pedestrian and bike counting service. 
        ",count-machine,CityOfLosAngeles,"
      3
    ",,"
      12
    "
,,,2019-10-12T22:07:31Z,2019-10-12T22:07:31Z,,"
        Migrate to TensorFlow 2
      ",https://github.com/docwhite/oneironautix/issues/26,#26,Status: Open,,"
              84
            ","
      0
    ",https://github.com/docwhite/oneironautix,"
          Deep dreaming on a Raspberry Pi
        ",oneironautix,docwhite,"
      4
    ",,"
      1
    "
"
        1
      ",,"
          0
        ",2019-10-23T05:52:56Z,2019-10-23T05:52:55Z,,"
        Bump tensorflow from 1.0.0 to 1.12.2 in /deep-learning-v2-pytorch/tensorflow/intro-to-tensorflow
      ",https://github.com/alrahmanak/ml/pull/1,#1,Status: Open,,"
              18
            ","
      0
    ",https://github.com/alrahmanak/ml,"
          Machine Learning
        ",ml,alrahmanak,"
      0
    ",,"
      0
    "
,,,2019-10-17T00:49:36Z,2019-10-10T10:34:25Z,,"
        various Tensorflow versions used
      ",https://github.com/KONI-SZ/MSCRED/issues/2,#2,Status: Open,,"
              7
            ","
      8
    ",https://github.com/KONI-SZ/MSCRED,"
          Multi-Scale Convolutional Recurrent Encoder-Decoder
        ",MSCRED,KONI-SZ,"
      7
    ",,"
      0
    "
"
        250+
      ","
            1,223
        ","
          4
        ",2019-10-26T01:30:21Z,2019-10-21T19:03:07Z,"
            1,223
        ","
        Develop upstream sync 191021
      ",https://github.com/ROCmSoftwarePlatform/tensorflow-upstream/pull/679,#679,Status: Open,"58,132 lines changed","
              71,351
            ","
      78,153
    ",https://github.com/ROCmSoftwarePlatform/tensorflow-upstream,"
          TensorFlow ROCm port
        ",tensorflow-upstream,ROCmSoftwarePlatform,"
      312
    ",,"
      38
    "
,,,,2019-10-07T20:05:09Z,,"
        Tensorflow 2 version
      ",https://github.com/suinleelab/attributionpriors/issues/1,#1,Status: Open,,"
              39
            ","
      2
    ",https://github.com/suinleelab/attributionpriors,"
          Tools for training explainable models using attribution priors.
        ",attributionpriors,suinleelab,"
      40
    ","Topic: machine-learning,Topic: interpretable-deep-learning,Topic: tensorflow,Topic: artificial-intelligence","
      0
    "
,,,2019-10-14T04:01:38Z,2019-10-14T04:01:37Z,,"
        Tensorflow-Lite operator version check
      ",https://github.com/nnsuite/nnstreamer/issues/1759,#1759,Status: Open,,"
              1,326
            ","
      46
    ",https://github.com/nnsuite/nnstreamer,"
          
",nnstreamer,nnsuite,"
      152
    ","Topic: ai,Topic: gstreamer,Topic: gstreamer-plugins,Topic: tensorflow,Topic: intelligence,Topic: caffe2,Topic: neural-network,Topic: tizen","
      20
    "
